               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.042594,             0.11264,            0.073008,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090701,           0.0090701,           0.0090701
                  60,             0.04367,             0.11357,            0.073418,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090541,           0.0090541,           0.0090541
                  61,            0.044977,              0.1129,            0.074131,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090381,           0.0090381,           0.0090381
                  62,            0.042679,             0.10806,             0.07183,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009022,            0.009022,            0.009022
                  63,            0.043713,             0.10886,            0.074133,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009006,            0.009006,            0.009006
                  64,            0.043044,             0.10711,            0.075107,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00899,             0.00899,             0.00899
                  65,            0.048543,             0.10354,            0.074125,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089739,           0.0089739,           0.0089739
                  66,            0.047313,             0.10978,            0.074067,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089579,           0.0089579,           0.0089579
                  67,            0.041895,             0.11059,               0.074,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089419,           0.0089419,           0.0089419
                  68,            0.043833,             0.11093,            0.074299,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089259,           0.0089259,           0.0089259
                  69,            0.039847,            0.096019,            0.071677,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089098,           0.0089098,           0.0089098
                  70,            0.040887,             0.10242,            0.073385,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088938,           0.0088938,           0.0088938
                  71,            0.042235,            0.097033,            0.072341,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088778,           0.0088778,           0.0088778
                  72,            0.039745,             0.10455,            0.073168,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088617,           0.0088617,           0.0088617
                  73,            0.042003,             0.11429,            0.074383,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088457,           0.0088457,           0.0088457
                  74,            0.041831,            0.097764,            0.074493,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088297,           0.0088297,           0.0088297
                  75,             0.03932,             0.10225,            0.069569,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088136,           0.0088136,           0.0088136
                  76,            0.038959,            0.097396,            0.067535,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087976,           0.0087976,           0.0087976
                  77,            0.039403,            0.098183,            0.073267,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087816,           0.0087816,           0.0087816
                  78,            0.040067,             0.11361,            0.071558,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087655,           0.0087655,           0.0087655
                  79,            0.038696,             0.09504,             0.07362,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087495,           0.0087495,           0.0087495
                  80,            0.038715,             0.10202,            0.073737,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087335,           0.0087335,           0.0087335
                  81,            0.036631,             0.10358,            0.070764,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087174,           0.0087174,           0.0087174
                  82,            0.041652,            0.096505,            0.071641,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087014,           0.0087014,           0.0087014
                  83,            0.038154,            0.092819,            0.069698,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086854,           0.0086854,           0.0086854
                  84,            0.039071,            0.089613,             0.07138,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086693,           0.0086693,           0.0086693
                  85,            0.034162,            0.090089,             0.06749,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086533,           0.0086533,           0.0086533
                  86,            0.033742,            0.084389,            0.066467,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086373,           0.0086373,           0.0086373
                  87,            0.038424,            0.095477,            0.068768,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086212,           0.0086212,           0.0086212
                  88,            0.041984,            0.095128,            0.070249,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086052,           0.0086052,           0.0086052
                  89,            0.039359,             0.11036,             0.06822,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0085892,           0.0085892,           0.0085892
                  90,            0.039074,            0.097541,             0.07257,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0085731,           0.0085731,           0.0085731
                  91,             0.03441,             0.10001,            0.067267,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0085571,           0.0085571,           0.0085571
                  92,            0.036243,             0.10058,            0.069686,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0085411,           0.0085411,           0.0085411
                  93,            0.039466,            0.089251,             0.07101,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0085251,           0.0085251,           0.0085251
                  94,            0.034495,            0.095501,            0.066794,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008509,            0.008509,            0.008509
                  95,             0.03551,            0.094095,            0.067512,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008493,            0.008493,            0.008493
                  96,            0.036406,            0.089774,            0.071461,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008477,            0.008477,            0.008477
                  97,            0.035655,            0.089961,            0.069711,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084609,           0.0084609,           0.0084609
                  98,            0.040073,            0.095532,            0.072401,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084449,           0.0084449,           0.0084449
                  99,            0.037432,            0.094398,            0.069105,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084289,           0.0084289,           0.0084289
                 100,             0.03445,              0.0854,            0.068749,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084128,           0.0084128,           0.0084128
                 101,            0.034037,            0.091194,            0.066502,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083968,           0.0083968,           0.0083968
                 102,            0.032213,            0.082979,            0.066276,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083808,           0.0083808,           0.0083808
                 103,            0.032494,            0.080879,            0.066631,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083647,           0.0083647,           0.0083647
                 104,            0.035595,            0.083636,            0.068474,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083487,           0.0083487,           0.0083487
                 105,             0.03486,            0.094077,             0.06652,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083327,           0.0083327,           0.0083327
                 106,            0.034987,             0.10276,            0.069926,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083166,           0.0083166,           0.0083166
                 107,             0.03451,            0.086269,            0.068057,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083006,           0.0083006,           0.0083006
                 108,            0.033047,             0.10036,            0.066816,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082846,           0.0082846,           0.0082846
                 109,            0.036128,            0.089882,            0.065874,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082685,           0.0082685,           0.0082685
                 110,            0.037362,             0.10219,              0.0676,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082525,           0.0082525,           0.0082525
                 111,            0.035738,            0.096021,            0.064539,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082365,           0.0082365,           0.0082365
                 112,            0.038656,             0.10104,            0.069946,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082204,           0.0082204,           0.0082204
                 113,            0.034457,             0.08092,            0.067201,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082044,           0.0082044,           0.0082044
                 114,            0.033741,            0.090977,            0.069434,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081884,           0.0081884,           0.0081884
                 115,              0.0373,             0.10886,             0.06303,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081723,           0.0081723,           0.0081723
                 116,            0.039542,            0.091685,            0.066654,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081563,           0.0081563,           0.0081563
                 117,            0.034845,            0.091483,            0.064779,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081403,           0.0081403,           0.0081403
                 118,            0.036642,            0.092364,            0.065366,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081242,           0.0081242,           0.0081242
                 119,            0.033864,            0.089378,            0.068218,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081082,           0.0081082,           0.0081082
                 120,            0.035901,            0.089468,            0.064234,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080922,           0.0080922,           0.0080922
                 121,            0.040392,             0.09173,            0.066735,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080762,           0.0080762,           0.0080762
                 122,            0.035834,            0.096231,            0.066322,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080601,           0.0080601,           0.0080601
                 123,            0.034505,            0.087881,            0.067789,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080441,           0.0080441,           0.0080441
                 124,            0.032962,            0.081934,            0.065484,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080281,           0.0080281,           0.0080281
                 125,            0.033132,            0.079476,            0.068024,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008012,            0.008012,            0.008012
                 126,            0.034796,            0.090677,            0.062445,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007996,            0.007996,            0.007996
                 127,            0.031986,             0.08452,            0.064484,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00798,             0.00798,             0.00798
                 128,            0.032803,            0.076719,            0.062843,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0079639,           0.0079639,           0.0079639
                 129,            0.031159,            0.083294,            0.063383,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0079479,           0.0079479,           0.0079479
                 130,             0.03106,             0.08493,            0.064174,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0079319,           0.0079319,           0.0079319
                 131,            0.032731,            0.094595,            0.063732,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0079158,           0.0079158,           0.0079158
                 132,            0.030185,            0.087845,             0.06262,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078998,           0.0078998,           0.0078998
                 133,             0.03202,            0.086245,            0.065187,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078838,           0.0078838,           0.0078838
                 134,            0.030351,            0.080875,            0.063072,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078677,           0.0078677,           0.0078677
                 135,            0.030477,            0.093868,            0.062926,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078517,           0.0078517,           0.0078517
                 136,            0.031336,             0.08216,            0.061156,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078357,           0.0078357,           0.0078357
                 137,            0.031884,            0.096365,            0.062107,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078196,           0.0078196,           0.0078196
